approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
TRUE,,11,Sunnyhurst Wood Hazelnuts,Wild Foraging,nuts,woodland,53.708,-2.485,Hazel coppice in Sunnyhurst Wood near Darwen.,"Hazel trees are abundant throughout Sunnyhurst Wood, a popular ancient woodland south of Blackburn. Nuts are ready to pick from September.",9;10,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,hazelnuts,0,0,0,,,,Autumn,,https://www.blackburn.gov.uk/parks-and-open-spaces,Earnsdale Road,Darwen,Darwen,Lancashire,BB3 1LX
TRUE,,12,Fishmoor Reservoir Path Blackberries,Wild Foraging,fruits,scrubland,53.718,-2.472,Brambles along the Fishmoor Reservoir footpath.,"The public footpath skirting Fishmoor Reservoir is lined with productive blackberry brambles throughout late summer and early autumn.",8;9,https://images.unsplash.com/photo-1464306208223-e0b4495a5553?w=512&q=80,blackberries,0,0,0,,,,Summer/Autumn,,https://www.blackburn.gov.uk/parks-and-open-spaces,Fishmoor Drive,Blackburn,Livesey,Lancashire,BB2 5JA
TRUE,,13,Witton Country Park Hazelnuts,Wild Foraging,nuts,woodland,53.765,-2.530,Hazel trees in the ancient woodland section of Witton Park.,"Hazel coppice can be found in the older wooded areas of Witton Country Park. Nuts are typically ready to harvest from mid-September.",9;10,https://images.unsplash.com/photo-1507750545-0909477b819e?w=512&q=80,hazelnuts,0,0,0,,,,Autumn,,https://www.blackburn.gov.uk/parks-and-open-spaces,Witton Park,Blackburn,Witton,Lancashire,BB2 2TP
TRUE,,14,Blackburn Cathedral Garden Herbs,Incredible Edible,herbs,street-planters,53.749,-2.480,Edible herb garden at Blackburn Cathedral.,"A small but productive herb garden maintained by volunteers in the Cathedral precinct. Visitors are welcome to pick herbs including sage, thyme and lavender.",5;6;7;8;9,https://images.unsplash.com/photo-1591857177580-dc82b9ac4e1e?w=512&q=80,"sage, thyme, lavender",0,0,0,,,,Summer,,https://www.blackburncathedral.org.uk,Cathedral Close,Blackburn,Town Centre,Lancashire,BB1 5AA
TRUE,,15,Roddlesworth Woods Wild Garlic,Wild Foraging,vegetables,woodland,53.712,-2.552,Wild garlic in Roddlesworth Woods near Darwen.,"The ancient woodland walks of Roddlesworth are carpeted in wild garlic each spring. A beautiful and productive foraging walk along the reservoir paths.",3;4;5,https://images.unsplash.com/photo-1502444330042-d1a1ddf9bb5b?w=512&q=80,wild garlic,0,0,0,,,,Spring,,https://www.blackburn.gov.uk/parks-and-open-spaces,Roddlesworth Lane,Darwen,Roddlesworth,Lancashire,BB3 0NQ
TRUE,,16,The Greenhouse Project Community Garden,Community Garden,Community Garden,Community Garden,53.753,-2.492,Community garden with orchard, soft fruit area and vegetable beds. Volunteers often share produce with the local community.,"Community garden with orchard, soft fruit area and vegetable beds. Volunteers often share produce with the local community.",,,,,,,,,,https://bwdfoodalliance.org.uk/join-local-growing-groups/,"Corporation Park, Blackburn, BB2",,,,
TRUE,,17,Whitehall Park Community Garden Group,Community Garden,Community Garden,Community Garden,53.750,-2.485,Community group growing and sharing fruit and vegetables with volunteers and local residents.,Community group growing and sharing fruit and vegetables with volunteers and local residents.,,,,,,,,,,https://bwdfoodalliance.org.uk/join-local-growing-groups/,"Whitehall Park, Darwen, Blackburn with Darwen",,,,
TRUE,,18,Growing Links Community Garden,Community Garden,Community Garden,Community Garden,53.748,-2.483,Produces herbs, fruit and vegetables for veg bags and community food support projects.,Produces herbs, fruit and vegetables for veg bags and community food support projects.,,,,,,,,,,https://www.growinglinks.org.uk/eat-with-us,"John Daniel Centre, Blackburn",,,,
TRUE,,19,Blackburn Foodbank,Food Bank,Food Bank,Food Bank,53.749,-2.481,Foodbank offering emergency food support including fresh produce when available.,Foodbank offering emergency food support including fresh produce when available.,,,,,,,,,,https://blackburn.foodbank.org.uk/locations/,"The Oaks, Oakenhurst Rd, Blackburn, BB2 1SN",,,,
TRUE,,20,Blackburn with Darwen Food Alliance,Food Support Network,Food Support Network,Food Support Network,53.749,-2.480,Network supporting community growing spaces and food access projects across Blackburn.,Network supporting community growing spaces and food access projects across Blackburn.,,,,,,,,,,https://bwdfoodalliance.org.uk/,Blackburn with Darwen,,,,
