approved,timestamp,id,name,type,category,sub-category,lat,lng,short_description,description,months,image,tags,likes,dislikes,reports,comments,what_three_words,season,plus_code,link,address,town,area,county,postcode
TRUE,,18,Iver District Community Garden,Community Garden,vegetables,urban-growing,51.515,-0.505,Iver District Community Garden in Iver.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"community garden, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Iver,Iver,Iver,Buckinghamshire,SL0 0RA
TRUE,,19,Grand Union Canal (Sloes),Foraging,fruits,hedgerow,51.825,-0.685,Grand Union Canal (Sloes) in Marsworth.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Marsworth,Marsworth,Marsworth,Buckinghamshire,HP23 4LW
TRUE,,20,River Thames Marlow (Berries),Foraging,fruits,riverbank,51.565,-0.772,River Thames Marlow (Berries) in Marlow.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Marlow,Marlow,Marlow,Buckinghamshire,SL7 1RG
TRUE,,21,River Great Ouse Samphire (Marsh),Foraging,vegetables,riverbank,52.125,-0.755,River Great Ouse Samphire (Marsh) in Milton Keynes.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Milton Keynes,Milton Keynes,Milton Keynes,Buckinghamshire,MK19 7HQ
TRUE,,22,Buckingham Arm Canal Hops,Foraging,herbs,riverbank,52.002,-0.995,Buckingham Arm Canal Hops in Buckingham.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Buckingham,Buckingham,Buckingham,Buckinghamshire,MK18 1GB
TRUE,,23,Weston Turville Reservoir Foraging,Foraging,fruits,wetland,51.785,-0.755,Weston Turville Reservoir Foraging in Aylesbury.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Aylesbury,Aylesbury,Aylesbury,Buckinghamshire,HP22 5RT
TRUE,,24,Willen Lake Elderflower,Foraging,flowers,wetland,52.052,-0.722,Willen Lake Elderflower in Milton Keynes.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Milton Keynes,Milton Keynes,Milton Keynes,Buckinghamshire,MK15 0DS
TRUE,,25,Caldecotte Lake Wild Plums,Foraging,fruits,wetland,52.005,-0.715,Caldecotte Lake Wild Plums in Milton Keynes.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Milton Keynes,Milton Keynes,Milton Keynes,Buckinghamshire,MK7 8HP
TRUE,,26,River Thame Meadows Garlic,Foraging,herbs,riverbank,51.785,-0.955,River Thame Meadows Garlic in Shabbington.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Shabbington,Shabbington,Shabbington,Buckinghamshire,HP18 9HB
TRUE,,27,Bourne End River Path Berries,Foraging,fruits,riverbank,51.575,-0.715,Bourne End River Path Berries in Bourne End.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Bourne End,Bourne End,Bourne End,Buckinghamshire,SL8 5RR
TRUE,,28,River Chess Path (Watercress - Wild),Foraging,vegetables,riverbank,51.695,-0.585,River Chess Path (Watercress - Wild) in Chenies.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Chenies,Chenies,Chenies,Buckinghamshire,WD3 6EP
TRUE,,29,Denham Country Park Berries,Foraging,fruits,riverbank,51.575,-0.495,Denham Country Park Berries in Denham.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Denham,Denham,Denham,Buckinghamshire,UB9 5PG
TRUE,,30,Stoke Hammond Lock Sloes,Foraging,fruits,hedgerow,51.942,-0.715,Stoke Hammond Lock Sloes in Milton Keynes.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Milton Keynes,Milton Keynes,Milton Keynes,Buckinghamshire,MK17 9BP
TRUE,,31,Jubilee River Path Foraging,Foraging,fruits,riverbank,51.512,-0.645,Jubilee River Path Foraging in Dorney.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Dorney,Dorney,Dorney,Buckinghamshire,SL4 6QS
TRUE,,32,Fenny Stratford Canal Greens,Foraging,vegetables,wetland,51.995,-0.715,Fenny Stratford Canal Greens in Bletchley.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Bletchley,Bletchley,Bletchley,Buckinghamshire,MK2 2NZ
TRUE,,33,Tattenhoe Valley Edible Hedge,Foraging,fruits,hedgerow,51.998,-0.775,Tattenhoe Valley Edible Hedge in Milton Keynes.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Milton Keynes,Milton Keynes,Milton Keynes,Buckinghamshire,MK4 3GD
TRUE,,34,Ashridge Estate (Sweet Chestnuts),Foraging,nuts,woodland,51.815,-0.595,Ashridge Estate (Sweet Chestnuts) in Berkhamsted (Edge).,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Berkhamsted (Edge),Berkhamsted (Edge),Berkhamsted (Edge),Buckinghamshire,HP4 1NS
TRUE,,35,Penn Wood Hazelnuts,Foraging,nuts,woodland,51.645,-0.685,Penn Wood Hazelnuts in Penn Street.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Penn Street,Penn Street,Penn Street,Buckinghamshire,HP7 0PX
TRUE,,36,Hodgemoor Wood Chestnuts,Foraging,nuts,woodland,51.635,-0.615,Hodgemoor Wood Chestnuts in Chalfont St Giles.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Chalfont St Giles,Chalfont St Giles,Chalfont St Giles,Buckinghamshire,HP8 4PD
TRUE,,37,Wendover Woods Bilberries,Foraging,fruits,woodland,51.765,-0.712,Wendover Woods Bilberries in Wendover.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Wendover,Wendover,Wendover,Buckinghamshire,HP22 5NQ
TRUE,,38,Coombe Hill Sloes,Foraging,fruits,hedgerow,51.758,-0.765,Coombe Hill Sloes in Ellesborough.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Ellesborough,Ellesborough,Ellesborough,Buckinghamshire,HP17 0UR
TRUE,,39,Black Park Foraging,Foraging,fruits,woodland,51.545,-0.545,Black Park Foraging in Wexham.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Wexham,Wexham,Wexham,Buckinghamshire,SL3 6DS
TRUE,,40,Whaddon Chase Hazelnuts,Foraging,nuts,woodland,51.995,-0.835,Whaddon Chase Hazelnuts in Whaddon.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Whaddon,Whaddon,Whaddon,Buckinghamshire,MK17 0LU
TRUE,,41,Cowley Wood Wild Garlic,Foraging,herbs,woodland,52.015,-0.855,Cowley Wood Wild Garlic in Calverton.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",3;4;5,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Spring,,,Calverton,Calverton,Calverton,Buckinghamshire,MK19 6AR
TRUE,,42,Linford Wood Blackberries,Foraging,fruits,woodland,52.055,-0.755,Linford Wood Blackberries in Milton Keynes.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Milton Keynes,Milton Keynes,Milton Keynes,Buckinghamshire,MK14 6AF
TRUE,,43,Howe Park Wood Nuts,Foraging,nuts,woodland,51.995,-0.795,Howe Park Wood Nuts in Milton Keynes.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Milton Keynes,Milton Keynes,Milton Keynes,Buckinghamshire,MK4 3GG
TRUE,,44,Pulloxhill Orchard (Public Path),Foraging,fruits,hedgerow,51.995,-0.455,Pulloxhill Orchard (Public Path) in Pulloxhill.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Pulloxhill,Pulloxhill,Pulloxhill,Buckinghamshire,MK45 5ES
TRUE,,45,Whiteleaf Hill Rosehips,Foraging,fruits,hedgerow,51.728,-0.815,Whiteleaf Hill Rosehips in Princes Risborough.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Princes Risborough,Princes Risborough,Princes Risborough,Buckinghamshire,HP27 0RP
TRUE,,46,Brill Common Foraging,Foraging,fruits,heathland,51.815,-1.055,Brill Common Foraging in Brill.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Brill,Brill,Brill,Buckinghamshire,HP18 9TG
TRUE,,47,Turville Valley Elderberries,Foraging,fruits,hedgerow,51.615,-0.925,Turville Valley Elderberries in Turville.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Turville,Turville,Turville,Buckinghamshire,RG9 6QU
TRUE,,48,Ivinghoe Beacon Sloes,Foraging,fruits,hedgerow,51.841,-0.612,Ivinghoe Beacon Sloes in Ivinghoe.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Ivinghoe,Ivinghoe,Ivinghoe,Buckinghamshire,LU7 9DJ
TRUE,,49,Salcey Forest (Edge paths),Foraging,nuts,woodland,52.135,-0.795,Salcey Forest (Edge paths) in Hartwell (Edge).,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,Hartwell (Edge),Hartwell (Edge),Hartwell (Edge),Buckinghamshire,NN7 2HB
TRUE,,50,Hughenden Manor (Public Paths),Foraging,fruits,hedgerow,51.648,-0.758,Hughenden Manor (Public Paths) in High Wycombe.,"A location in Buckinghamshire for community food growing or wild foraging, from the Chiltern Hills to the river valleys.",7;8;9;10,https://images.unsplash.com/photo-1542273917363-3b1817f69a2d?w=512&q=80,"foraging, buckinghamshire, foraging, community",0,0,0,,,Summer/Autumn,,,High Wycombe,High Wycombe,High Wycombe,Buckinghamshire,HP14 4LA
